Year,ID,Latitude,Longitude
2020,GYUE_2020,41.12888429,-73.72870821
2020,GYUE_2020,41.12888343,-73.72910778
2020,GYUE_2020,41.12894104,-73.72894481
2020,GYUE_2020,41.12890264,-73.72901121
2020,GYUE_2020,41.12885399,-73.72887986
2020,GYUE_2020,41.12862409,-73.72896571
2020,GYUE_2020,41.12892853,-73.72864639
2020,GYUE_2020,41.12899872,-73.72888895
2020,GYUE_2020,41.12898434,-73.72908078
2020,GYUE_2020,41.12868642,-73.72891545
2020,GYUE_2020,41.12820118,-73.7288858
2020,GYUE_2020,41.12818019,-73.7288523
2020,GYUE_2020,41.1282451,-73.7286398
2020,GYUE_2020,41.12820118,-73.7288858
2020,GYUE_2020,41.12854457,-73.72902933
2020,LWYU_2020,41.12994038,-73.7293004
2020,LWYU_2020,41.12979918,-73.72943001
2020,LWYU_2020,41.12986241,-73.72929364
2020,LWYU_2020,41.12995623,-73.72963559
2020,LWYU_2020,41.12996013,-73.72980948
2020,LWYU_2020,41.12992036,-73.72978034
2020,LWYU_2020,41.12996051,-73.72970041
2020,LWYU_2020,41.12983968,-73.72952875
2020,LWYU_2020,41.12984026,-73.72940983
2020,LWYU_2020,41.12993546,-73.72969811
2020,RYSU_2020,41.13040083,-73.73004235
2020,RYSU_2020,41.13045397,-73.72993799
2020,RYSU_2020,41.13075878,-73.72990691
2020,RYSU_2020,41.13052026,-73.72988005
2020,RYSU_2020,41.13057093,-73.73001974
2020,RYSU_2020,41.13084888,-73.72984481
2020,RYSU_2020,41.13104869,-73.72989684
2020,RYSU_2020,41.13108023,-73.72968783
2020,RYSU_2020,41.13124952,-73.72986109
2020,YILU_2020,41.12960481,-73.72982321
2020,YILU_2020,41.12982763,-73.72997921
2020,YILU_2020,41.1295654,-73.7296468
2020,YILU_2020,41.12993546,-73.72969811
2020,YILU_2020,41.12983906,-73.72949611
2020,YILU_2020,41.12947458,-73.72973313
2020,YILU_2020,41.12963832,-73.72968763
2020,YILU_2020,41.12971388,-73.72982832
2020,YILU_2020,41.12955509,-73.73000679
2020,YILU_2020,41.12947991,-73.73048776
2021,AOUI_2021,41.12971,-73.72907
2021,AOUI_2021,41.12975,-73.72899
2021,AOUI_2021,41.12978,-73.729
2021,AOUI_2021,41.12982,-73.72891
2021,AOUI_2021,41.12979,-73.72884
2021,AOUI_2021,41.12971,-73.72893
2021,AOUI_2021,41.12971,-73.72898
2021,AOUI_2021,41.12981,-73.72885
2021,AOUI_2021,41.12977,-73.72977
2021,AOUI_2021,41.12977,-73.72885
2021,AOUI_2021,41.12972,-73.72914
2021,AOUI_2021,41.12984,-73.72898
2021,AOUI_2021,41.12989,-73.72914
2021,AOUI_2021,41.12992,-73.72897
2021,AOUI_2021,41.12995,-73.72906
2021,AOUI_2021,41.12966,-73.72892
2021,AOUI_2021,41.13003,-73.72869
2021,AOUI_2021,41.1298,-73.72944
2021,AOUI_2021,41.12989,-73.72945
2021,AOUI_2021,41.12993,-73.72945
2021,GYUE_2021,41.12836,-73.7289
2021,GYUE_2021,41.12848,-73.72909
2021,GYUE_2021,41.12856,-73.72878
2021,GYUE_2021,41.12844,-73.72901
2021,GYUE_2021,41.12838,-73.72897
2021,GYUE_2021,41.12829,-73.72875
2021,GYUE_2021,41.12825,-73.72891
2021,GYUE_2021,41.12887,-73.72864
2021,GYUE_2021,41.12851,-73.72847
2021,GYUE_2021,41.12834,-73.72873
2021,GYUE_2021,41.12895,-73.7287
2021,LYAU_2021,41.128118,-73.729839
2021,LYAU_2021,41.128175,-73.729901
2021,LYAU_2021,41.128237,-73.730008
2021,LYAU_2021,41.128129,-73.72982
2021,LYAU_2021,41.128296,-73.730218
2021,LYAU_2021,41.128366,-73.730378
2021,LYAU_2021,41.128464,-73.730387
2021,LYAU_2021,41.12821,-73.73023
2021,LYAU_2021,41.12823,-73.73052
2021,LYAU_2021,41.1284,-73.73033
2021,LYAU_2021,41.12851,-73.73046
2021,LYAU_2021,41.12846,-73.73049
2021,LYAU_2021,41.12839,-73.73039
2021,LYAU_2021,41.12849,-73.73038
2021,LYAU_2021,41.12821,-73.72998
2021,LYAU_2021,41.12815,-73.72996
2021,LYAU_2021,41.12832,-73.73023
2021,LYAU_2021,41.12836,-73.73027
2021,LYAU_2021,41.12817,-73.73003
2021,LYAU_2021,41.12815,-73.72993
2021,LYAU_2021,41.12817,-73.72998
2021,LYAU_2021,41.12839,-73.73031
2021,LYAU_2021,41.12857,-73.73058
2021,LYAU_2021,41.12824,-73.72983
2021,LYAU_2021,41.12854,-73.7305
2021,LYAU_2021,41.12823,-73.73002
2021,LYAU_2021,41.12835,-73.7302
2021,LYAU_2021,41.12832,-73.73025
2021,LYAU_2021,41.12826,-73.72996
2021,OIUW_2021,41.127044,-73.731156
2021,OIUW_2021,41.127072,-73.731238
2021,OIUW_2021,41.127228,-73.730989
2021,OIUW_2021,41.127192,-73.730775
2021,OIUW_2021,41.127104,-73.730689
2021,OIUW_2021,41.127257,-73.730656
2021,OIUW_2021,41.127292,-73.73075
2021,OIUW_2021,41.127434,-73.730842
